Row ID,Order ID,fecha_venta,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,ciudad,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,temperatura_maxima,temperatura_minima,lluvia_mm,ventas_predichas_clima
3,CA-2013-138688,2013-06-13,17/06/2013,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,"6,8714",22.5,15.4,53.1,240.74846952940268
6,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,"14,1694",23.7,14.7,44.9,223.353331311615
7,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,"1,9656",23.7,14.7,44.9,223.353331311615
8,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,"0,2","90,7152",23.7,14.7,44.9,223.353331311615
9,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,"0,2","5,7825",23.7,14.7,44.9,223.353331311615
10,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,"34,47",23.7,14.7,44.9,223.353331311615
11,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,"0,2","85,3092",23.7,14.7,44.9,223.353331311615
12,CA-2011-115812,2011-06-09,14/06/2011,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,"0,2","68,3568",23.7,14.7,44.9,223.353331311615
14,CA-2013-161389,2013-12-06,11/12/2013,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,"0,2","132,5922",-14.6,-21.0,0.0,298.10840657761776
19,CA-2011-143336,2011-08-27,1/09/2011,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,"2,4824",30.1,20.3,1.1,201.56498036760388
